key,ar,de,en,es,fr,hi,hu,id,ja,ko,pt,ru,zh,zh_tw
legend_type_tooltip,الموقع النمطي: المكان الذي جُمعت فيه العيّنة التي تُعد معيارًا لنوعٍ ما (العيّنة النمطية).,"Typuslokalität: Der Ort, an dem das nomenklatorisch maßgebliche Exemplar (Typusexemplar) gesammelt wurde.",Type locality: The place where the specimen serving as the standard for a species (type specimen) was collected.,localidad tipo: el lugar donde se recolectó el espécimen que sirve como estándar para una especie (espécimen tipo).,Localité-type : lieu où le spécimen servant de référence nomenclaturale pour une espèce (spécimen-type) a été collecté.,टाइप लोकैलिटी: वह स्थान जहाँ किसी प्रजाति के मानक के रूप में प्रयुक्त नमूना (टाइप नमूना) एकत्र किया गया था।,"Típusterület: az a hely, ahol a faj etalonjaként szolgáló példányt (típuspéldányt) gyűjtötték.",Lokalitas tipe: tempat spesimen yang menjadi standar bagi suatu spesies (spesimen tipe) dikoleksi.,タイプ産地：種の基準となる標本が採集された場所です。,모식산지: 한 종의 기준이 되는 표본(모식표본)이 채집된 장소입니다.,Localidade-tipo: o local onde o espécime que serve como padrão para uma espécie (espécime-tipo) foi coletado.,"Типовая местность: место, где был собран экземпляр, служащий стандартом для вида (типовой экземпляр).",模式产地：作为物种命名标准的标本（模式标本）被采集的地点。,模式產地：作為物種命名標准的標本（模式標本）被採集的地點。
lifestage,طور الحياة,Entwicklungsstadium,Life Stage,estadio de vida,stade de vie,जीवन अवस्था,Életstádium,tahap kehidupan,ライフステージ,발육 단계,estágio de vida,Стадия развития,生活史阶段,生活史阶段
literature,الأدبيات,Literatur,Literature,bibliografía,littérature,साहित्य,Szakirodalom,literatur,文献,문헌,literatura,Литература,文献,文獻
location,الموقع,Ort,Location,localidad,localité,स्थान,Hely,lokasi,採集地,위치,localidade,Местоположение,地点,地點
locations,المواقع,Orte,Locations,localidades,localités,स्थानों,Helyek,lokasi-lokasi,地点数,위치,localidades,Местоположения,地点,地點
map_attribution,تم إنشاؤه عبر معالجة بيانات من <a href='https://nlftp.mlit.go.jp/ksj/' target='_blank'>خدمة تنزيل معلومات مرجع المواقع</a> (وزارة الأراضي والبنية التحتية والنقل والسياحة).,Erstellt durch Verarbeitung von Daten aus dem <a href='https://nlftp.mlit.go.jp/ksj/' target='_blank'>Location Reference Information Download Service</a> (MLIT).,Created by processing data from <a href='https://nlftp.mlit.go.jp/ksj/' target='_blank'>Location Reference Information Download Service</a> (MLIT).,Creado mediante el procesamiento de datos del <a href='https://nlftp.mlit.go.jp/ksj/' target='_blank'>Servicio de descarga de información de referencia de ubicaciones</a> (MLIT).,Créé par traitement des données du <a href='https://nlftp.mlit.go.jp/ksj/' target='_blank'>service de téléchargement des informations de référence de localisation</a> (MLIT).,<a href='https://nlftp.mlit.go.jp/ksj/' target='_blank'>Location Reference Information Download Service</a> (MLIT) से डेटा संसाधित करके बनाया गया।,A(z) <a href='https://nlftp.mlit.go.jp/ksj/' target='_blank'>Location Reference Information Download Service</a> (MLIT) adataiból történő feldolgozással készült.,Dibuat dengan memproses data dari <a href='https://nlftp.mlit.go.jp/ksj/' target='_blank'>Layanan Unduh Informasi Referensi Lokasi</a> (MLIT).,「<a href='https://nlftp.mlit.go.jp/ksj/' target='_blank'>位置参照情報ダウンロードサービス</a>」（国土交通省）を加工して作成,<a href='https://nlftp.mlit.go.jp/ksj/' target='_blank'>Location Reference Information Download Service</a> (MLIT)의 데이터를 가공하여 생성.,Criado pelo processamento de dados do <a href='https://nlftp.mlit.go.jp/ksj/' target='_blank'>Location Reference Information Download Service</a> (MLIT).,Создано путём обработки данных из <a href='https://nlftp.mlit.go.jp/ksj/' target='_blank'>Location Reference Information Download Service</a> (MLIT).,基于 <a href='https://nlftp.mlit.go.jp/ksj/' target='_blank'>Location Reference Information Download Service</a>（MLIT）数据处理生成。,基於 <a href='https://nlftp.mlit.go.jp/ksj/' target='_blank'>Location Reference Information Download Service</a>（MLIT）數据處理生成。
march,مارس,März,Mar.,marzo,mars,मार्च,március,Maret,3月,3월,março,март,3月,3月
may,مايو,Mai,May,mayo,mai,मई,május,Mei,5月,5월,maio,май,5月,5月
month,الشهر,Monat,Month,mes,mois,माह,Hónap,bulan,月,월,mês,месяц,月份,月份
note,ملاحظات,Anmerkungen,Notes,notas,notes,टिप्पणियाँ,Megjegyzések,catatan,備考,비고,notas,Примечания,注释,註釋
november,نوفمبر,November,Nov.,noviembre,novembre,नवंबर,november,November,11月,11월,novembro,ноябрь,11月,11月
number_of_records,عدد السجلات,Anzahl der Nachweise,Number of records,número de citas,nombre de signalements,प्रमाण-रिकॉर्डों की संख्या,Előfordulási adatok száma,jumlah rekaman,記録数,출현 기록 수,número de ocorrências,Число находок,出现记录数,出現紀錄數
number_of_records_by_month,عدد السجلات حسب الشهر,Anzahl der Nachweise nach Monat,Number of records by Month,número de citas por mes,nombre de signalements par mois,माह के अनुसार प्रमाण-रिकॉर्डों की संख्या,Előfordulási adatok száma hónap szerint,jumlah rekaman per bulan,出現期（月別）,월별 출현 기록 수,número de ocorrências por mês,Число находок по месяцам,按月份的出现记录数,按月份的出現紀錄數
number_of_species,عدد الأنواع,Anzahl der Arten,Number of species,número de especies,nombre d’espèces,प्रजातियों की संख्या,Fajok száma,jumlah spesies,種数,종 수,número de espécies,Число видов,物种数,物種數
october,أكتوبر,Oktober,Oct.,octubre,octobre,अक्टूबर,október,Oktober,10月,10월,outubro,октябрь,10月,10月
order,الرتبة,Ordnung,Order,orden,ordre,क्रम,Rend,ordo,目,목,ordem,Отряд,目,目
original_japanese_name,الاسم الياباني في الأدبيات,Japanischer Name in der Literatur,Japanese Name in Literature,nombre japonés en la literatura,nom japonais dans la littérature,साहित्य में जापानी नाम,Japán név a szakirodalomban,nama Jepang dalam literatur,文献中の和名,문헌의 일본명,nome japonês na literatura,Японское название в литературе,文献中的日文名,文獻中的日文名
original_scientific_name,الاسم العلمي في الأدبيات,Wissenschaftlicher Name in der Literatur,Scientific Name in Literature,nombre científico en la literatura,nom scientifique dans la littérature,साहित्य में वैज्ञानिक नाम,Tudományos név a szakirodalomban,nama ilmiah dalam literatur,文献中の学名,문헌의 학명,nome científico na literatura,Научное название в литературе,文献中的学名,文獻中的學名
page,الصفحة,Seite,Page,página,page,पृष्ठ,Oldal,halaman,ページ,페이지,página,страница,页,頁
periodicity,الدورية,Periodizität,Periodicity,periodicidad,périodicité,आवर्तिता,Periodicitás,periodisitas,周期性,주기성,periodicidade,Периодичность,周期性,周期性
periodicity_years,الدورية (بالسنوات),Periodizität (Jahre),Periodicity (Years),periodicidad (años),périodicité (années),आवर्तिता (वर्ष),Periodicitás (évek),periodisitas (tahun),周期 (年),주기(년),periodicidade (anos),Периодичность (лет),周期（年）,周期（年）
population,الجماعة,Population,Population,población,population,जनसंख्या,Populáció,populasi,個体数,개체군,população,Популяция,种群,種群
prefecture,المحافظة,Präfektur,Prefecture,prefectura,préfecture,प्रिफेक्चर,Prefektúra,prefektur,都道府県,현,prefeitura (Japão),префектура,都道府县,都道府縣
prefecture_chart_title_head,حسب المحافظة:,Nach Präfektur:,By Prefecture: ,por prefectura:,par préfecture :,प्रिफेक्चर के अनुसार:,Prefektúránként:,Menurut prefektur:,各都道府県の,현별:,Por prefeitura (Japão):,По префектурам:,按都道府县：,按都道府縣：
publication_year,سنة النشر,Publikationsjahr,Publication Year,año de publicación,année de publication,प्रकाशन वर्ष,Közlés éve,tahun publikasi,出版年,출판연도,ano de publicação,Год публикации,发表年份,發表年份
ratio,النسبة,Anteil,Ratio,porcentaje,pourcentage,प्रतिशत,Arány,persentase,割合,비율,percentagem,Доля,比例,比例
record_count,عدد السجلات,Anzahl der Nachweise,Number of records,número de citas,nombre de signalements,प्रमाण-रिकॉर्डों की संख्या,Előfordulási adatok száma,jumlah rekaman,記録数,출현 기록 수,número de ocorrências,Число находок,出现记录数,出現紀錄數
record_type,نوع السجل,Nachweistyp,Record Type,tipo de cita,type de signalement,रिकॉर्ड प्रकार,Adattípus,jenis rekaman,記録の種類,기록 유형,tipo de ocorrência,Тип находки,出现记录类型,出現紀錄類型
records,السجلات,Nachweise,Records,citas,signalements,प्रमाण-रिकॉर्ड,Előfordulási adatok,rekaman,記録数,출현 기록,ocorrências,находки,出现记录,出現紀錄
reference,المرجع,Referenz,Reference,referencia,référence,संदर्भ,Hivatkozás,referensi,引用文献,참고문헌,referência,Источник,参考文献,參考文獻
reset,إعادة التعيين,Zurücksetzen,Reset,restablecer,réinitialiser,रीसेट,Visszaállítás,reset,リセット,초기화,redefinir,Сброс,重置,重置
reset_page,إعادة التعيين إلى الإعدادات الافتراضية,Auf Standard zurücksetzen,Reset to default,restablecer a valores predeterminados,réinitialiser par défaut,डिफ़ॉल्ट पर रीसेट,Alapértelmezettre visszaállítás,reset ke default,初期状態に戻す,기본값으로 초기화,redefinir para o padrão,Сбросить к значениям по умолчанию,恢复默认,恢復預設
select_family,اختر الفصيلة,Familie auswählen,Select family,seleccionar familia,sélectionner une famille,कुल चुनें,Család kiválasztása,pilih famili,科を選択,과 선택,selecionar família,Выбрать семейство,选择科,選擇科
select_genus,اختر الجنس,Gattung auswählen,Select genus,seleccionar género,sélectionner un genre,वंश चुनें,Nem kiválasztása,pilih genus,属を選択,속 선택,selecionar gênero,Выбрать род,选择属,選擇属
select_island,اختر الجزيرة,Insel auswählen,Select island,seleccionar isla,sélectionner une île,द्वीप चुनें,Sziget kiválasztása,pilih pulau,島を選択,섬 선택,selecionar ilha,Выбрать остров,选择岛屿,選擇島嶼
select_literature,اختر الأدبيات,Literatur auswählen,Select literature,seleccionar bibliografía,sélectionner une référence,साहित्य चुनें,Szakirodalom kiválasztása,pilih literatur,文献を選択,문헌 선택,selecionar literatura,Выбрать литературу,选择文献,選擇文獻
select_order,اختر الرتبة,Ordnung auswählen,Select order,seleccionar orden,sélectionner un ordre,क्रम चुनें,Rend kiválasztása,pilih ordo,目を選択,목 선택,selecionar ordem,Выбрать отряд,选择目,選擇目
select_prefecture,اختر المحافظة,Präfektur auswählen,Select prefecture,seleccionar prefectura,sélectionner une préfecture,प्रिफेक्चर चुनें,Prefektúra kiválasztása,pilih prefektur,都道府県を選択,현 선택,selecionar prefeitura (Japão),Выбрать префектуру,选择都道府县,選擇都道府縣
select_species,اختر النوع,Art auswählen,Select species,seleccionar especie,sélectionner une espèce,प्रजाति चुनें,Faj kiválasztása,pilih spesies,種を選択,종 선택,selecionar espécie,Выбрать вид,选择物种,選擇物種
september,سبتمبر,September,Sep.,septiembre,septembre,सितंबर,szeptember,September,9月,9월,setembro,сентябрь,9月,9月
show_higher_taxa,إظهار التصنيفات العليا,Höhere Taxa anzeigen,Show Higher Taxa,mostrar taxones superiores,afficher les taxons supérieurs,उच्चतर टैक्सा दिखाएँ,Magasabb taxonok megjelenítése,tampilkan taksa tingkat lebih tinggi,高次分類群を表示,상위 분류군 표시,mostrar táxons superiores,Показать высшие таксоны,显示高阶分类群,顯示高阶分類群
species,الأنواع,Arten,Species,especies,espèces,प्रजातियाँ,Fajok,spesies,種,종,espécies,виды,物种,物種
species_count,عدد الأنواع,Anzahl der Arten,Number of species,número de especies,nombre d’espèces,प्रजातियों की संख्या,Fajok száma,jumlah spesies,種数,종 수,número de espécies,Число видов,物种数,物種數
touch_hint,استخدم إصبعين لتحريك الخريطة<br><br>انقر على علامة لعرض التفاصيل,"Verwenden Sie zwei Finger, um die Karte zu verschieben<br><br>Tippen Sie auf einen Marker für Details",Use two fingers to move the map<br><br>Tap a marker for details,Use dos dedos para mover el mapa<br><br>Toque un marcador para ver detalles,Utilisez deux doigts pour déplacer la carte<br><br>Appuyez sur un marqueur pour les détails,मानचित्र को हिलाने के लिए दो उँगलियाँ उपयोग करें<br><br>विवरण हेतु किसी चिन्ह पर टैप करें,A térkép mozgatásához használjon két ujjat<br><br>Koppintson egy jelölőre a részletekért,Gunakan dua jari untuk memindahkan peta<br><br>Ketuk penanda untuk detail,2本指で地図を操作<br><br>マーカークリックで詳細表示,두 손가락으로 지도를 이동<br><br>마커를 탭하면 상세 정보 표시,Use dois dedos para mover o mapa<br><br>Toque em um marcador para detalhes,"Используйте два пальца, чтобы перемещать карту<br><br>Нажмите на маркер для подробностей",用两指移动地图<br><br>点击标记查看详情,用兩指移動地圖<br><br>點擊標記查看詳情
unknown,غير معروف,Unbekannt,Unknown,desconocido,inconnu,अज्ञात,Ismeretlen,tidak diketahui,不明,불명,desconhecido,Неизвестно,未知,未知
unpublished_data,بيانات غير منشورة,Unveröffentlichte Daten,Unpublished Data,datos no publicados,données non publiées,अप्रकाशित डेटा,Kiadatlan adatok,data yang belum dipublikasikan,未公表データ,미출판 데이터,dados não publicados,Неопубликованные данные,未发表数据,未發表數据
year_chart_record_collection,عدد السجلات والتراكمي (سنة الجمع),Anzahl der Nachweise & kumulativ (Sammeljahr),Number of Records & Cumulative (Collection Year),número de citas y acumulado (año de recolección),nombre de signalements et cumul (année de collecte),प्रमाण-रिकॉर्डों की संख्या एवं संचयी (संग्रह वर्ष),Előfordulási adatok száma és kumulatív (gyűjtési év),jumlah rekaman & kumulatif (tahun pengambilan),記録数と累積記録数（採集年）,출현 기록 수 및 누적(채집연도),número de ocorrências e cumulativo (ano de coleta),Число находок и накопительно (год сбора),出现记录数与累积（采集年份）,出現紀錄數與累積（採集年份）
year_chart_record_publication,عدد السجلات والتراكمي (سنة النشر),Anzahl der Nachweise & kumulativ (Publikationsjahr),Number of Records & Cumulative (Publication Year),número de citas y acumulado (año de publicación),nombre de signalements et cumul (année de publication),प्रमाण-रिकॉर्डों की संख्या एवं संचयी (प्रकाशन वर्ष),Előfordulási adatok száma és kumulatív (közlési év),jumlah rekaman & kumulatif (tahun publikasi),記録数と累積記録数（出版年）,출현 기록 수 및 누적(출판연도),número de ocorrências e cumulativo (ano de publicação),Число находок и накопительно (год публикации),出现记录数与累积（发表年份）,出現紀錄數與累積（發表年份）
year_chart_species_collection,عدد الأنواع والتراكمي (سنة الجمع),Anzahl der Arten & kumulativ (Sammeljahr),Number of Species & Cumulative (Collection Year),número de especies y acumulado (año de recolección),nombre d’espèces et cumul (année de collecte),प्रजातियों की संख्या एवं संचयी (संग्रह वर्ष),Fajok száma és kumulatív (gyűjtési év),jumlah spesies & kumulatif (tahun pengambilan),種数と累積種数（採集年）,종 수 및 누적(채집연도),número de espécies e cumulativo (ano de coleta),Число видов и накопительно (год сбора),物种数与累积（采集年份）,物種數與累積（採集年份）
year_chart_species_publication,عدد الأنواع والتراكمي (سنة النشر),Anzahl der Arten & kumulativ (Publikationsjahr),Number of Species & Cumulative (Publication Year),número de especies y acumulado (año de publicación),nombre d’espèces et cumul (année de publication),प्रजातियों की संख्या एवं संचयी (प्रकाशन वर्ष),Fajok száma és kumulatív (közlési év),jumlah spesies & kumulatif (tahun publikasi),種数と累積種数（出版年）,종 수 및 누적(출판연도),número de espécies e cumulativo (ano de publicação),Число видов и накопительно (год публикации),物种数与累积（发表年份）,物種數與累積（發表年份）
year_chart_y2_label_record,العدد التراكمي للسجلات,Kumulative Anzahl der Nachweise,Cumulative number of records,número acumulado de citas,nombre cumulé de signalements,प्रमाण-रिकॉर्डों की संचयी संख्या,Előfordulási adatok kumulatív száma,jumlah rekaman kumulatif,累積記録数,누적 출현 기록 수,número cumulativo de ocorrências,Накопительное число находок,累积出现记录数,累積出現紀錄數
year_chart_y2_label_species,العدد التراكمي للأنواع,Kumulative Anzahl der Arten,Cumulative number of species,número acumulado de especies,nombre cumulé d’espèces,प्रजातियों की संचयी संख्या,Fajok kumulatív száma,jumlah spesies kumulatif,累積種数,누적 종 수,número cumulativo de espécies,Накопительное число видов,累积物种数,累積物種數
year_chart_y_label_record,عدد السجلات,Anzahl der Nachweise,Number of records,número de citas,nombre de signalements,प्रमाण-रिकॉर्डों की संख्या,Előfordulási adatok száma,jumlah rekaman,記録数,출현 기록 수,número de ocorrências,Число находок,出现记录数,出現紀錄數
year_chart_y_label_species,عدد الأنواع,Anzahl der Arten,Number of species,número de especies,nombre d’espèces,प्रजातियों की संख्या,Fajok száma,jumlah spesies,種数,종 수,número de espécies,Число видов,物种数,物種數
year_type_1,الوصف الأصلي,Originalbeschreibung,Original description,descripción original,description originale,मूल वर्णन,Eredeti leírás,deskripsi asli,原記載,원기재,descrição original,Оригинальное описание,原始描述,原始描述
year_type_2,الوصف الأصلي للنوع المُرادَف,Originalbeschreibung einer synonymisierten Art,Original description of synonymized species,descripción original de una especie sinonimizada,description originale d’une espèce synonymisée,समरूपीकरण (synonymized) की गई प्रजाति का मूल वर्णन,Szinonimizált faj eredeti leírása,deskripsi asli dari spesies yang disinonimkan,統合された種の原記載,동의어화된 종의 원기재,descrição original de espécie sinonimizada,Оригинальное описание синонимизированного вида,同物异名化物种的原始描述,同物异名化物種的原始描述
year_type_3,نمط مشكوك فيه,Zweifelhafte Typuslokalität,Doubtful type,localidad tipo dudosa,localité-type douteuse,संदिग्ध टाइप,Kétséges típusterület,tipe yang meragukan,疑わしいタイプ,의심 모식산지,tipo duvidoso,Сомнительная типовая местность,存疑模式,存疑模式
year_type_4,نمط مشكوك فيه ونمط مُرادَف,Zweifelhafte Typuslokalität einer synonymisierten Art,Doubtful & Synonymized type,localidad tipo dudosa de una especie sinonimizada,localité-type douteuse et synonymisée,संदिग्ध एवं समरूपीकरण (synonymized) टाइप,Kétséges és szinonimizált típusterület,tipe yang meragukan & disinonimkan,疑わしい統合された種のタイプ,의심 및 동의어화된 모식산지,tipo duvidoso e sinonimizado,Сомнительная и синонимизированная типовая местность,存疑与同物异名化模式,存疑與同物异名化模式
year_type_5,سجل عيّنة,Belegexemplar-Nachweis,Specimen record,cita de espécimen,signalement basé sur un spécimen,नमूना-आधारित रिकॉर्ड,Példányalapú előfordulási adat,rekaman berbasis spesimen,標本記録,표본 기반 출현 기록,ocorrência baseada em espécime,Находка по экземпляру,标本出现记录,標本出現紀錄
year_type_6,سجل من الأدبيات,Literaturnachweis,Literature record,cita bibliográfica,signalement bibliographique,साहित्य-प्रमाण-रिकॉर्ड,Irodalmi adat,rekaman literatur,文献記録,문헌 출현 기록,ocorrência bibliográfica,Литературная находка,文献出现记录,文獻出現紀錄
year_type_7,سجل من الأدبيات (مشكوك فيه),Zweifelhafter Literaturnachweis,Doubtful literature record,cita bibliográfica dudosa,signalement bibliographique douteux,संदिग्ध साहित्य-प्रमाण-रिकॉर्ड,Kétséges irodalmi adat,rekaman literatur yang meragukan,疑わしい文献記録,의심 문헌 출현 기록,ocorrência bibliográfica duvidosa,Сомнительная литературная находка,存疑文献出现记录,存疑文獻出現紀錄
box_select,تحديد النطاق,Bereich auswählen,Select area,Seleccionar área,Sélection de zone,क्षेत्र चयन,Terület kijelölése,Pilih area,範囲選択,범위 선택,Selecionar área,Выбрать область,范围选择,範圍選擇
box_clear,إلغاء النطاق,Bereich aufheben,Clear area,Borrar área,Effacer la zone,क्षेत्र हटाएँ,Terület törlése,Hapus area,範囲解除,범위 해제,Limpar área,Сбросить область,解除范围,解除範圍
monthly_occurrence,فترة الظهور,Auftretenszeit,Occurrence period,Período de aparición,Période d’occurrence,प्रकट होने की अवधि,Előfordulási időszak,Periode kemunculan,出現期,출현기,Período de ocorrência,Период встречаемости,出现期,出現期
